ids,caso
NA,nessun caso
6899449973,2.1
6892086102,2.1
6891966329,2.1
6891966297,2.1
6891966068,2.1
6891965850,2.1
6891965793,2.1
6891965787,3
6891965652,3
6891965631,3
6891965588,3
6891965495,2.1
6891965480,nessun caso
6891965137,2
6891965110,2
6891965100,2.1
6891965081,2
6891639485,3
6891144174,2.1
6891132029,3
6891129428,2.1
6891124030,2.1
6891086078,3
6890795366,2
6890559410,2.1
6890387970,2.1
6890384077,1
6890384010,3
6890383840,1.1
6890382285,2.1
6890381919,3
6890381620,1.1
6890381466,2.1
6890381255,3
6890381155,2
6890216791,1.1
6890172706,2
6889911783,3
6889877717,nessun caso
6889857326,3
6889844831,nessun caso
6889751744,3
6889643335,3
6889636092,nessun caso
6889579722,2
6889555857,3
6889554960,2.1
6889536623,2
6889531289,2
6889530142,2.1
6889529143,2
6889525427,3
6889521318,nessun caso
6889484576,1
6889479747,3
6889475839,nessun caso
6889475362,3
6889449954,2
6889350806,2.1
6889348061,nessun caso
6889346869,2.1
6889346589,3
6889346269,nessun caso
6889346206,3
6889346053,2.1
6889089870,2
6889028754,3
6888982937,3
6888962306,3
6888952386,1
6888938822,nessun caso
6888937886,2
6888935075,3
6888933075,1.1
6888925804,3
6888921312,nessun caso
6888908037,3
6888904198,3
6888880243,2.1
688888e4,2
6888879158,3
6888879006,3
6888878852,nessun caso
6888878803,3
6888878717,1.1
6888878547,2.1
6888878399,3
6888878357,2
6888878154,1.1
6888877871,2.1
6888877825,2.1
6888877715,3
6888877513,3
6888876830,1
6888811558,3
6888811448,nessun caso
6888810004,2
6888809614,3
6888809439,2.1
6888809382,2
6888809194,3
6888809186,3
6888809107,3
6888809098,2.1
6888809071,3
6888809027,2
6888808993,1
6888808986,2.1
6888808931,3
6888808870,3
6888808843,3
6888808723,2.1
6888804075,1
6888803785,3
6888802711,1.1
6888802375,2.1
6888802238,3
6888801969,2
6888801683,1
6888801615,3
6888801484,3
6888801298,2.1
6888801197,3
6888800857,3
6888799790,2.1
6888799621,nessun caso
6888799534,3
6888799084,3
6888799001,3
6888798858,2.1
6888798780,nessun caso
6888798599,2.1
6888798517,nessun caso
6888798418,2.1
6888798206,1
6888798051,3
6888796997,2.1
6888796779,1
6888796776,3
6888796713,3
6888780863,3
6888778110,2.1
6888777902,nessun caso
6888777849,nessun caso
6888777520,3
6888777352,2
6888755305,2
6888753224,3
6888752646,3
6888752614,nessun caso
6888751960,nessun caso
6888751944,3
6888751142,3
6888750872,2.1
6888750802,nessun caso
6888749348,3
6888393934,1
6888207461,nessun caso
6888181188,3
6888180220,nessun caso
6888173214,3
6888070489,2.1
6888058251,1
6888053447,3
6888052578,2
6888052152,3
6888051688,3
6888051676,3
6888051492,3
6888031484,3
6888031012,nessun caso
6888030171,2.1
6888029651,1.1
6888029503,nessun caso
6888029423,nessun caso
6888029198,3
6888029e3,2.1
6888028884,nessun caso
6888028875,2.1
6888028845,2.1
6888028840,nessun caso
6888028829,3
6888028574,nessun caso
6888022148,3
6888020835,1
6888020518,1
6888020334,2.1
6888020320,2.1
6888020186,2
6888020137,3
6888019930,1
6888019910,3
6888019878,nessun caso
6888019678,2.1
6888019656,3
6888019290,nessun caso
6887989039,3
6887722921,2
6887691003,3
6887680264,3
6887657635,3
6887567530,3
6887564729,nessun caso
6887553559,3
6887552586,nessun caso
6887548490,3
6887539164,3
6887538128,3
6887519247,2
6887512986,3
6887511972,2
6887510499,2.1
6887478924,3
6887474163,nessun caso
6887365353,3
6887364757,2.1
6887364692,3
6887364622,3
6887363857,3
6887363856,3
6887363168,2.1
