"","ids","Sei.maschio.o.femmina.","X","Anno.di.nascita","Comune.di.residenza","Provincia.di.residenza","Nazionalità","Scuola.superiore.che.frequenti.o.hai.frequentato.","X.1","X.2","X.3","Titolo.di.studio.raggiunto","X.4","X.5","X.6","X.7","X.8","Attualmente...","X.9","In.base.alla.risposta.precedente..indica.qual.è.il.tuo.lavoro.e.o.cosa.stai.studiando.","Tra.i.9.e.i.17.anni..hai.avuto.una.disabilità.temporanea..es..gamba.ingessata..o.permanente.","X.10","Titolo.di.studio.di.tua.mamma","X.11","X.12","X.13","X.14","X.15","X.16","Titolo.di.studio.di.tuo.papà","X.17","X.18","X.19","X.20","X.21","X.22","Quanti.fratelli.o.sorelle.hai.","X.23","X.24","X.25","X.26","Dai.tuoi.9.ai.17.anni..quanti.dei.tuoi.nonni.in.media.hanno.abitato.vicino.a.te..a.circa.un.quarto.d.ora.da.casa.tua..","X.27","X.28","X.29","X.30","Dopo.la.scuola..in.genere..chi.si.occupava.di.te.","X.31","X.32","X.33","X.34","X.35","X.36","X.37","Hai.cambiato.comune.di.residenza.o.quartiere.durante.il.periodo.delle.scuole.elementari.e.medie.","X.38","Tra.i.9.e.17.anni..Pensa.alla.struttura.sportiva.più.vicina.a.casa.tua..indipendentemente.dal.fatto.che.vi.praticassi.sport..quanto.tempo.impiegavi.per.raggiungerla.","X.39","X.40","X.41","X.42","X.43","X.44","X.45","X.46","X.47","Qual.era.la.distanza.approssimativa.in.chilometri.","Tra.i.9.e.17.anni..Pensa.alla.struttura.sportiva.più.vicina.alla.tua.scuola..indipendentemente.dal.fatto.che.vi.praticassi.sport..quanto.tempo.impiegavi.per.raggiungerla.","X.48","X.49","X.50","X.51","X.52","X.53","X.54","X.55","X.56","Qual.era.la.distanza.approssimativa.in.chilometri..1","Tra.i.9.e.17.anni...Hai.mai.praticato.sport.","X.57","Tra.i.9.e.17.anni..Nel.tuo.quartiere..se.vivevi.in.città..o.nel.tuo.comune..se.vivevi.in.un.centro.abitato.di.piccole.dimensioni..vivevano.o.si.allenavano.dei.campioni.dello.sport.","X.58","Quale.i.sport.hai.praticato.dai.9.ai.17.anni.","X.59","X.60","X.61","X.62","X.63","X.64","X.65","X.66","X.67","X.68","X.69","X.70","X.71","X.72","X.73","X.74","X.75","X.76","X.77","X.78","X.79","X.80","X.81","X.82","X.83","X.84","X.85","X.86","X.87","X.88","X.89","X.90","X.91","X.92","Scrivi.il.nome.dello.sport.per.te.più.significativo.tra.i.9.e.i.17.anni","Crocetta.la.risposta.che.ti.rappresenta..Lo.sport.più.significativo.per.me.","X.93","X.94","X.95","Riguardo.al.tuo.sport.più.significativo..lo.hai.fatto.a.livello.agonistico.","X.399","Quante.volte.alla.settimana..in.media..praticavi.il.tuo.sport.significativo.prima.dei.17.anni..Considera.anche.le.partite..o.le.gare.o.i.saggi..","X.400","X.401","X.402","Prima.dei.17.anni.Hai.mai.pensato.seriamente.di.abbandonare.lo.sport.per.te.più.significativo..NB..Per..seriamente..si.intende.che.stavi.per.lasciarlo.o.che.l.hai.lasciato.per.poco.tempo..massimo.6.mesi..e.poi.hai.ripreso.","X.403","Perché.non.hai.mai.pensato.di.abbandonare.il.tuo.sport..Tra.le.seguenti.motivazioni..scegline.al.massimo.3..1","X.598","X.599","X.600","X.601","X.602","X.603","X.604","X.605","X.606","X.607","X.608","X.609","X.610","X.611","X.612","X.613","X.614","X.615","X.616","X.617","X.618","X.619","X.620","X.621","X.622","X.623","X.624","X.625","X.626","X.627","X.628","X.629","X.630","Tra.le.motivazioni.che.hai.scelto.scrivi.il.numero.di.quella.che.ha.maggiormente.determinato.la.tua.voglia.di.continuare.3","In.media..tra.i.tuoi.9.e.17.anni..quante.ore.alla.settimana.dedicavi.ad.attività.extra.scolastiche.e.o.extra.sportive..es..arte..social.network.ecc....1","X.631","X.632","X.633","X.634","X.635","Tra.i.9.e.i.17.anni..Sei.in.media.sempre.riuscito.a.conciliare.l.impegno.scolastico.con.l.impegno.sportivo..1","X.636","X.637","X.638","X.639","Tra.i.9.e.i.17.anni.Quante.ore.studiavi.in.media.al.giorno.al.di.fuori.dell.orario.scolastico..1","X.640","X.641","X.642","X.643","X.644","Tra.i.tuoi.9.e.i.17.anni..tua.mamma.lavorava.","X.645","Tra.i.tuoi.9.e.i.17.anni..Che.professione.svolgeva.tua.mamma.","X.646","X.647","X.648","X.649","X.650","X.651","Tra.i.tuoi.9.e.i.17.anni..Tua.mamma.era.impegnata.per.lavoro.","X.652","X.653","X.654","Tra.i.tuoi.9.e.i.17.anni..Tuo.papà.lavorava.","X.655","Tra.i.tuoi.9.e.i.17.anni..Che.professione.svolgeva.tuo.papà.","X.656","X.657","X.658","X.659","X.660","X.661","Tra.i.tuoi.9.e.i.17.anni..Tuo.papà.era.impegnato.per.lavoro.","X.662","X.663","X.664","Tra.i.tuoi.9.e.i.17.anni..Quanti.dei.tuoi.fratelli.hanno.fatto.il.tuo.stesso.sport.significativo.","X.665","X.666","X.667","X.668","Tra.i.tuoi.9.e.i.17.anni..Chi.ti.ha.influenzato.in.modo.determinante.nella.scelta.del.tuo.sport.significativo.","X.669","X.670","X.671","X.672","Almeno.uno.dei.tuoi.genitori.ha.praticato.nella.sua.vita.il.tuo.sport.significativo..1","X.673","X.674","X.675","Prima.dei.17.anni..I.tuoi.genitori..o.uno.di.essi..in.media.ti.hanno.portato.la.maggior.parte.delle.volte..es..2.volte.su.3..agli.allenamenti.del.tuo.sport.significativo.","X.676","Tra.i.tuoi.9.e.17.anni..I.tuoi.genitori..o.uno.di.essi..ti.hanno.sostenuto.nel.continuare.a.fare.lo.sport.per.te.più.significativo.","X.677","Prima.dei.17.anni..Quando.non.avevi.voglia.di.andare.ad.allenarti..nel.tuo.sport.significativo...i.tuoi.genitori..o.uno.di.essi..ti.convincevano.o.obbligavano.ad.andare.","X.678","Pensa.a.quale.dei.tuoi.genitori.ti.ha.seguito.di.più.nel.tuo.sport.significativo.e.rispondi..Lui.lei..rispetto.al.tuo.sport..lo.definiresti.","X.679","X.680","X.681","X.682","X.683","X.684","X.685","X.686","X.687","Prima.dei.17.anni...in.media..ti.divertivi.nel.praticare.il.tuo.sport.significativo.","X.688","X.689","X.690","X.691","Il.tuo.sport.significativo..fino.ai.17.anni..per.te.è.stato...scegline.al.massimo.tre.","X.692","X.693","X.694","X.695","X.696","X.697","X.698","X.699","X.700","X.701","Per.favore..leggi.le.seguenti.caratteristiche.di.personalità.e.indica.quanto.ti.senti.descritto.da.ogni.coppia..anche.se.pensi.che.una.delle.due.caratteristiche.ti.descriva.più.dell.altra.Ti.ritieni.una.persona...","X.974","X.975","X.976","X.977","X.978","X.979","X.980","X.981","X.982","X.983","X.984","X.985","X.986","X.987","X.988","X.989","X.990","X.991","X.992","X.993","X.994","X.995","X.996","X.997","X.998","X.999","X.1000","X.1001","X.1002","X.1003","X.1004","X.1005","X.1006","X.1007","X.1008","X.1009","X.1010","X.1011","X.1012","X.1013","X.1014","X.1015","X.1016","X.1017","X.1018","X.1019","X.1020","X.1021","X.1022","X.1023","X.1024","X.1025","X.1026","X.1027","X.1028","X.1029","X.1030","X.1031","X.1032","X.1033","X.1034","X.1035","X.1036","X.1037","X.1038","X.1039","X.1040","X.1041","X.1042","X.1043","X.1044","X.1045","X.1046","X.1047","X.1048","X.1049"
"2",6899449973,"","Femmina","1999","Toirano","savona","Italia","Liceo","","","","","Licenza Media Inferiore","","","","","","Studi","scientifico","","x","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","",1,NA,NA,"","",NA,NA,NA,4,"","","","","","","","mamma, papà e nonni","","x","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","0,8","Si","","","x","","","Atletica","","","","","","","","","","","","","","","","","Nuoto","","Pallavolo","","","","","Scherma","","","","","","","","windsurf","atletica","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","","Più di tre","","No","","","","","","6. Mi piaceva migliorare le mie abilità","","","9. Avevo un obiettivo (es. vincere trofei o raggiungere alti livelli)","","","12. Mi serviva a scaricare l’energia o la tensione","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","Più di 4","","","","4. Abbastanza in accordo","","","1 ora","","","","","","No","","","","","Casalinga","","","","","Si gestiva autonomamente","","Si","","","","Impiegato","","","","","","Part time","","","",1,NA,NA,"","","","","Nessuno","","","","x","","","no","Si","","","no","","","","sostenitore positivo","","","","","","","Molto","","","","","","","","Una passione","Un bisogno del tuo corpo e della tua mente","Un modo per essere liberi","","","","","","","Molto in disaccordo","","","","","","Completamente in disaccordo","","","","","","","","","","","","Molto d’accordo","","Completamente in disaccordo","","","","","","","","","","","","","Completamente d’accordo","","","","","","","Completamente d’accordo","","","","","","","Completamente d’accordo","","Molto in disaccordo","","","","","","","Molto in disaccordo","","","","","","","","","","","","Completamente d’accordo","","","","","","Molto d’accordo",""
"3",6892086102,"Maschio","","1999","Torino ","Torino ","Italiana","Liceo","","","","","","","","","Licenza Media inferiore, diploma conservatorio ","","Studi","Violoncello, studi classici ","","X","","","","","Laurea","","","","","","","","","Diploma conservatorio ","",1,NA,NA,"","",1,NA,NA,NA,"Mamma","","","","","","","","","X","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1km","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1km","Si","","","X","","","","","","","","","Ciclismo","","","","","","","","","","","","","","","","","","","","","","","","","","Kayak ","Ciclismo","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","","No","1 volta","","","","","No","","","","","","","","","","","","","","","","","17. Era una passione","","","","","","","","","","","","","","","","","","Divertimento","","","","","","Più di 4","1. Completamente in disaccordo","","","","","","","","","","più di 4","","No","","","","","Casalinga","","","","","Si gestiva autonomamente","","Si","","","","","","","","Direttore d’orchestra ","Full time","","","","",1,NA,NA,"","","","","Nessuno","","","X","","","","no","","no","","no","Tranquillo","","","","","","","","","","","abbastanza","","","","","Un divertimento","","","","","","","","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","","","","","","","","","Completamente d’accordo","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","",""
"4",6891966329,"","Femmina","06/07/1999","Abbadia San Salvatore","siena","italiana","","Istituto Tecnico","","","","Licenza Media Inferiore","","","","","","Studi","costruzione ambiente e territorio","","X","","Licenza Media Inferiore","","","","","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","",1,NA,NA,"","",NA,NA,NA,4,"","","","Nonni","","","","","","X","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Si","","","X","","","Atletica","","","","","","","","Danza contemporanea","","","","","","","","","Nuoto","","","","","","","","","","","Tennis","","","","","danza","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","3 volte","","","No","1. Mi divertivo","","","","","6. Mi piaceva migliorare le mie abilità","","8. Volevo tenermi in forma","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","4 ore","","","","","4. Abbastanza in accordo","","","","","3 ore","","","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","Full time","","","","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","Full time","","","","",1,NA,NA,"","Genitori","","","","","","","X","","Si","","Si","","","no","Tranquillo","","","","","","","","","","Molto","","","","","","Un divertimento","","Una passione","","","","","Un modo per scaricare l’energia","","","","","","Né d’accordo né in disaccordo","","","","","","Un po’ in disaccordo","","","","","","","","Né d’accordo né in disaccordo","","","","","","Un po’ in disaccordo","","","","","","","","","Un po’ d’accordo","","","","","","Né d’accordo né in disaccordo","","","","","","","","Un po’ d’accordo","","","","","","Né d’accordo né in disaccordo","","","","","","","","Un po’ d’accordo","","","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","",""
"5",6891966297,"","Femmina","1999","abbadia san salvatore","siena","italiana","","Istituto Tecnico","","","","Licenza Media Inferiore","","","","","","Studi","Indirizzo costruzioni ambiente e territorio","","X","","Licenza Media Inferiore","","","","","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","",1,NA,NA,"","",NA,NA,NA,4,"","","","Nonni","","","","","","X","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","500 m","Si","","","x","","","Atletica","","","","","","","","Danza contemporanea","","","","","","","","","Nuoto","","","","","","","","","","","Tennis","","","","","danza","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","3 volte","","","No","1. Mi divertivo","","","","","","","","","","","12. Mi serviva a scaricare l’energia o la tensione","","","","","17. Era una passione","","","","","","","","","","","","","","","","","","passione","","","","","","Più di 4","","","","4. Abbastanza in accordo","","","","2 ore","","","","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","","","Si gestiva autonomamente","","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","Full time","","","","",1,NA,NA,"","Genitori","","","","","","","x","","Si","","Si","","","no","Tranquillo","","","","","","","","","","Molto","","","","","","Un divertimento","","Una passione","","","","Un modo per staccare dalla vita quotidiana","","","","Completamente in disaccordo","","","","","","","Completamente in disaccordo","","","","","","","","","","","","Molto d’accordo","","","","","","Un po’ d’accordo","","","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","","","","","Un po’ in disaccordo","","","","","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","",""
"6",6891966068,"Maschio","","1999","ABBADIA SAN SALVATORE","siena","Italia","","Istituto Tecnico","","","","Licenza Media Inferiore","","","","","","Studi","indirizzo costruzione ambiente e territorio","braccio ingessato","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","","Licenza Media Inferiore","","","","","","",NA,NA,3,"","",NA,NA,NA,4,"Mamma","","","","","","","","","x","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","0,4 km","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","0,3","Si","","","x","","","","","","","Calcio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","calcio","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","3 volte","","","No","1. Mi divertivo","","","","","","","","","","","","","","","","17. Era una passione","","","","","","","","","","","","","","","","33. Orari comodi","","passione","","","","","4 ore","","","","","","5. Completamente d'accordo","Nessuna","","","","","","Si","","","","Impiegata","","","","","Full time","","","","Si","","","","","Operaio","","","","Full time","","","","",1,NA,NA,"","","","","Nessuno","","","babbo mamma","","","Si","","Si","","","no","","","","sostenitore positivo","","","","","","","Molto","","","","","","Un divertimento","","","","","","","","","","","","","","Un po’ d’accordo","","","","","","","Un po’ d’accordo","","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","",""
"7",6891965850,"Maschio","","1999","Piancastagnaio","si","italiana","","Istituto Tecnico","","","","Licenza Media Inferiore","","","","","","Studi","c.a.t","","x","","","","","Laurea","","","","","Diploma di scuola media superiore (Liceo)","","","","","",1,NA,NA,"","",NA,NA,NA,4,"","","","Nonni","","","","","","x","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Si","","","x","","","","","","","","","","","","","","","","","","","","","","Pallavolo","","","","","","","","","Tennis","","","","","Calcio","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","","Più di tre","","No","1. Mi divertivo","","3. Mi piaceva la competizione","","","","","8. Volevo tenermi in forma","","","","","","","","","","","","","","","","","","","","","","","","","","","mi diverto","Nessuna","","","","","","","","","","5. Completamente d'accordo","","1 ora","","","","","Si","","","","","","","","Farmacista","Full time","","","","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","Full time","","","","",1,NA,NA,"","","","","Nessuno","","","papa","","","Si","","Si","","Si","","Tranquillo","","","","","","","","","","Molto","","","","","","Un divertimento","","Una passione","","","","Un modo per staccare dalla vita quotidiana","","","","","","","","","Molto d’accordo","","","","Un po’ in disaccordo","","","","","","","","","","Molto d’accordo","","","","Un po’ in disaccordo","","","","","","","","","","Molto d’accordo","","","","Un po’ in disaccordo","","","","","","","","","","Molto d’accordo","","","","Un po’ in disaccordo","","","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","Un po’ in disaccordo","","","",""
"8",6891965793,"Maschio","","1999","Abbadia San Salvatore","Siena","Italiana","","Istituto Tecnico","","","","Licenza Media Inferiore","","","","","","Studi","Geometra","frattura della tibia","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","","Licenza Media Inferiore","","","","","","Non ne ho",NA,NA,NA,"","",1,NA,NA,NA,"","","","","","","Nessuno","","16","","","Un quarto d’ora","","","","Meno di un quarto d’ora","","","","","1km","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","0.3km","Si","","","X","","","Atletica","","","","Calcio","","","","","","Equitazione","","","","","","","Nuoto","","","Pattinaggio a Rotelle","","","","","","","","Tennis","","Tuffi","","","Nuoto","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","","Più di tre","","No","1. Mi divertivo","","","","","","","","","","","","","","","","17. Era una passione","","","","","","","","","","","","","","","","33. Orari comodi","","mi divertivo","","","","","4 ore","","1. Completamente in disaccordo","","","","","","","","","","più di 4","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","Full time","","","","Si","","","Commerciante/Imprenditore/Artigiano","","","","","","","","Si gestiva autonomamente","","Nessuno",NA,NA,NA,"","","","","Nessuno","","babbo","babbo","","","Si","","Si","","","no","","","","","","","pesante","","","","","","","poco","","","Un divertimento","","Una passione","","","","","Un modo per scaricare l’energia","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","","","","","","Né d’accordo né in disaccordo","","",""
"13",6891965495,"","Femmina","1999","Abbadia San Salvatore","Siena","italiana","","Istituto Tecnico","","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","Studi","Geometri","","x","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","Non ne ho",NA,NA,NA,"","",NA,2,NA,NA,"","","","Nonni","","","","","","x","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","0","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","0","Si","","","x","","","Atletica","","","","","","","","Danza contemporanea","","","","","","","","","","","","","","","","","Sci","","","Tennis","","","","","danza","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","","Più di tre","","No","","","","","","","","8. Volevo tenermi in forma","","","","12. Mi serviva a scaricare l’energia o la tensione","","","","","17. Era una passione","","","","","","","","","","","","","","","","","","la passione","","","","3 ore","","","","","","","5. Completamente d'accordo","","","2 ore","","","","Si","","","","Impiegata","","","","","Full time","","","","Si","","","","Impiegato","","","","","Full time","","","","Nessuno",NA,NA,NA,"","","","","Nessuno","","","","x","","Si","","Si","","","no","","","","sostenitore positivo","","","","","","","Molto","","","","","","Un divertimento","","Una passione","","","","","Un modo per scaricare l’energia","","","","","","","Un po’ d’accordo","","","","","","","Un po’ d’accordo","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","","Un po’ d’accordo","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","","","","","","","","Molto d’accordo","","","","","","Un po’ d’accordo","",""
"17",6891965100,"Maschio","","1999","Piancastagnaio","","Italia","","Istituto Tecnico","","","","Licenza Media Inferiore","","","","","","Studi","c.a.t. (costruzione ambiente e territorio)","","x","","Licenza Media Inferiore","","","","","","","","","","Laurea","","","",NA,2,NA,"","",NA,2,NA,NA,"","","","Nonni","","","","","","x","","Un quarto d’ora","","","","","Un quarto d’ora","","","","5","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1","Si","","","x","","","","","","","","","","","","","Equitazione","","","","","","","Nuoto","","","","","","","","","","","","","","","","nuoto","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","","Più di tre","","No","1. Mi divertivo","","3. Mi piaceva la competizione","","","6. Mi piaceva migliorare le mie abilità","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","1 ora","","","","","","","","4. Abbastanza in accordo","","","","2 ore","","","","Si","","","","Impiegata","","","","","Full time","","","","Si","","","","","","","","forza dell'ordine","Full time","","","","Nessuno",NA,NA,NA,"","Genitori","","","","","","babbo","","","","no","Si","","Si","","","","","sostenitore positivo","","","","","","","Molto","","","","","Un sacrificio","","","Una passione","","","","Un modo per staccare dalla vita quotidiana","","","","","","","","Un po’ d’accordo","","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","","","Né d’accordo né in disaccordo","","","","","","","","Un po’ d’accordo","","","","Molto in disaccordo","","","","","","","","","","Un po’ d’accordo","","","","","","","Un po’ d’accordo","","","","","","Né d’accordo né in disaccordo","","",""
"20",6891144174,"Maschio","","1999","Verona","Vr","Italia","Liceo","","","","","Licenza Media Inferiore","","","","","","Studi","Liceo scientifico","","X","","","","","Laurea","","","","","","Diploma di scuola media superiore (Istituto Tecnico o Professionale)","","","","Non ne ho",NA,NA,NA,"","",NA,NA,3,NA,"Mamma","","","","","","","","","X","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1 km","Meno di un quarto d’ora","","","","","Meno di un quarto d’ora","","","","","1 km","Si","","","X","","","","","","Basket","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Basket","","","...È il più importante tra gli altri sport che ho praticato e a 17 anni lo praticavo ancora”","","Si","","","","","Più di tre","","No","1. Mi divertivo","","","","","","","","9. Avevo un obiettivo (es. vincere trofei o raggiungere alti livelli)","","","","","","","","17. Era una passione","","","","","","","","","","","","","","","","","","1","","","","","","Più di 4","","","","4. Abbastanza in accordo","","","","2 ore","","","","Si","","","","Impiegata","","","","","Full time","","","","Si","","Libera professione (avvocato, medico, commercialista, artista, carriera sportiva ecc.)","","","","","","","Full time","","","","Nessuno",NA,NA,NA,"","","","","","cugino","","","X","","Si","","Si","","","no","","troppo fissato","","","","","","","","","Molto","","","","","","","","Una passione","Un bisogno del tuo corpo e della tua mente","","","Un modo per staccare dalla vita quotidiana","","","","","Molto in disaccordo","","","","","","","Molto in disaccordo","","","","","","","","","","","Molto d’accordo","","","","","","Un po’ d’accordo","","","","","","","Un po’ d’accordo","","","","","","","","","Completamente d’accordo","","","","","","Molto d’accordo","","","","","","Un po’ d’accordo","","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo","","","","","","","Molto d’accordo",""
