"","time"
"1",NA
"2",790
"3",865
"4",1188
"5",901
"6",663
"7",766
"8",1301
"9",1656
"10",1550
"11",1036
"12",889
"13",743
"14",803
"15",956
"16",1239
"17",994
"18",1052
"19",881
"20",427
"21",1186
"22",392
"23",681
"24",918
"25",1787
"26",1006
"27",1230
"28",1344
"29",895
"30",843
"31",2085
"32",1109
"33",874
"34",1047
"35",1347
"36",1242
"37",338
"38",573
"39",638
"40",267
"41",1050
"42",146
"43",826
"44",1010
"45",278
"46",2182
"47",2741
"48",577
"49",629
"50",378
"51",613
"52",375
"53",856
"54",291
"55",767
"56",924
"57",178
"58",1030
"59",1071
"60",759
"61",552
"62",702
"63",1283
"64",705
"65",1253
"66",1442
"67",1698
"68",1037
"69",751
"70",888
"71",871
"72",290
"73",1057
"74",1379
"75",839
"76",1146
"77",231
"78",1000
"79",747
"80",721
"81",1372
"82",781
"83",778
"84",394
"85",876
"86",589
"87",896
"88",984
"89",762
"90",651
"91",703
"92",1010
"93",856
"94",846
"95",703
"96",441
"97",95
"98",1114
"99",963
"100",682
"101",919
"102",1003
"103",1116
"104",1178
"105",782
"106",933
"107",839
"108",746
"109",985
"110",762
"111",681
"112",1022
"113",799
"114",228
"115",836
"116",614
"117",424
"118",760
"119",638
"120",328
"121",354
"122",915
"123",576
"124",421
"125",736
"126",1678
"127",622
"128",1011
"129",923
"130",899
"131",1520
"132",32
"133",1044
"134",210
"135",781
"136",1083
"137",1234
"138",759
"139",1013
"140",937
"141",933
"142",644
"143",812
"144",741
"145",120
"146",380
"147",955
"148",456
"149",353
"150",790
"151",61
"152",147
"153",534
"154",1106
"155",986
"156",466
"157",1400
"158",1075
"159",205
"160",1018
"161",118
"162",844
"163",964
"164",982
"165",846
"166",2273
"167",2250
"168",2369
"169",604
"170",531
"171",960
"172",83
"173",542
"174",715
"175",75
"176",107
"177",838
"178",911
"179",94
"180",844
"181",722
"182",208
"183",292
"184",102
"185",485
"186",831
"187",456
"188",760
"189",883
"190",903
"191",799
"192",753
"193",1043
"194",403
"195",712
"196",747
"197",79
"198",1475
"199",9314
"200",1324
"201",2418
"202",798
"203",911
"204",444
"205",684
"206",196
"207",178
"208",798
"209",729
"210",1168
"211",1098
"212",441
"213",625
"214",356
"215",149
"216",654
"217",822
"218",1560
"219",1057
"220",1882
"221",1833
"222",1000
"223",745
"224",119
"225",546
"226",1373
"227",1342
"228",627
"229",858
"230",1532
"231",299
"232",1094
"233",836
"234",859
"235",1365
"236",1315
"237",886
"238",1322
"239",747
"240",606
"241",833
"242",1321
"243",1073
"244",589
"245",798
"246",860
"247",2237
"248",1608
"249",1073
"250",2173
"251",1227
"252",1092
"253",1645
"254",1209
"255",835
"256",1233
"257",1027
"258",1043
"259",1240
"260",657
"261",1031
"262",1031
"263",1237
"264",433
"265",623
"266",855
"267",687
"268",501
"269",715
"270",39
"271",552
"272",133
"273",989
"274",520
"275",99
"276",929
"277",1270
"278",179
"279",417
"280",1260
"281",760
"282",150
"283",126
"284",460
"285",1335
"286",1211
"287",966
"288",697
"289",247
"290",1407
"291",1148
"292",1049
"293",1168
"294",1078
"295",1014
"296",1156
"297",1256
"298",1261
"299",1307
"300",971
"301",1032
"302",882
"303",100
"304",877
"305",803
"306",87
"307",1207
"308",800
"309",619
"310",796
"311",563
"312",678
"313",1390
"314",979
"315",800
"316",1041
"317",1132
"318",868
"319",916
"320",572
"321",109
"322",101
"323",395
"324",1978
"325",798
"326",337
"327",749
"328",720
"329",768
"330",1125
"331",923
"332",115
"333",60
"334",1093
"335",1448
"336",1094
"337",991
"338",1241
"339",1274
"340",1337
"341",1138
"342",580
"343",1182
"344",989
"345",1283
"346",1148
"347",663
"348",345
"349",1373
"350",1088
"351",1262
"352",1327
"353",1433
"354",1816
"355",1049
"356",1820
"357",883
"358",1010
"359",1133
"360",895
"361",1173
"362",1009
"363",1224
"364",770
"365",535
"366",848
"367",1282
"368",981
"369",152
"370",1150
"371",1070
"372",1252
"373",81
"374",817
"375",1449
"376",1195
"377",1717
"378",1607
"379",1598
"380",1430
"381",1063
"382",1840
"383",1228
"384",1239
"385",1022
"386",1013
"387",1290
"388",901
"389",670
"390",878
"391",414
"392",1050
"393",909
"394",876
"395",940
"396",859
"397",337
"398",994
"399",635
"400",49
"401",1327
"402",990
"403",428
"404",484
"405",1630
"406",17
"407",345
"408",772
"409",823
"410",1154
"411",1915
"412",837
"413",135
"414",1765
"415",1338
"416",156
"417",199
"418",1133
"419",1406
"420",1376
"421",1589
"422",787
"423",1355
"424",1297
"425",1464
"426",261
"427",116
"428",1771
"429",1316
"430",1000
"431",1330
"432",1180
"433",464
"434",807
"435",1307
"436",381
"437",1189
"438",1104
"439",993
"440",964
"441",600
"442",681
"443",1484
"444",1074
"445",1112
"446",764
"447",1710
"448",1021
"449",1017
"450",693
"451",139
"452",981
"453",1078
"454",796
"455",1029
"456",123
"457",779
"458",703
"459",1098
"460",83
"461",1781
"462",964
"463",1459
"464",1204
"465",1092
"466",1443
"467",1811
"468",840
"469",921
"470",1571
"471",1356
"472",900
"473",1277
"474",1383
"475",477
"476",922
"477",571
"478",454
"479",536
"480",5
"481",179
"482",879
"483",71
"484",310
"485",586
"486",645
"487",111
"488",46
"489",705
"490",925
"491",1725
"492",1464
"493",658
"494",1065
"495",816
"496",1199
"497",1945
"498",141
"499",65
